"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 13, 15, 155
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SizeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 188, 0, 4, 12, 204
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SizesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 4, 11, 128
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SubCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 323, 0, 14, 25, 362
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SubCategorySizesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 337, 0, 15, 34, 386
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SubCategorySizesUpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 348, 0, 23, 37, 408
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SubCategoryUpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 337, 0, 15, 30, 382
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\SuggestionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 5, 11, 182
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\TicketMessageModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 193, 0, 17, 25, 235
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\TicketTypeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 4, 12, 217
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\UsersDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 7, 15, 129
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\index.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\navigation\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 4, 15, 137
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\navigation\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\order\OrderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 828, 0, 113, 53, 994
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\order\Orders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 5, 14, 97
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\order\OrdersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 7, 59
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\order\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\PriceRange.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 3, 7, 97
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 1, 8, 117
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 76, 18, 168
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductDescription.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 16, 7, 43
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductDiscountTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductFilterControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 56, 30, 329
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 6, 10, 151
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 2, 4, 26
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductPriceDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 3, 5, 46
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\product\ProductSort.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 3, 13, 85
